"organization_name","gtfs_dataset_name","valid_from","valid_to"
"Swiftly Inc.","Madera County Connection Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","Mendocino Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","Nevada County Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","North County Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","OCTA VehiclePositions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","Redding Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","Redwood Coast Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","SMART Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","San Francisco Bay Ferry Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","San Joaquin Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","Tahoe Transportation Vehicle Positions Historic",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","Torrance Swiftly Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","Turlock Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"TripShot Inc.","Anaheim Resort VehiclePositions",2023-12-09,2024-07-10 23:59:59
"TripShot Inc.","BruinBus Vehicle Positions",2023-12-09,2024-07-10 23:59:59
"TripShot Inc.","Emery Go-Round TripShot Vehicle Positions",2023-12-09,2024-07-10 23:59:59
"TripShot Inc.","MVGO VehiclePositions",2023-12-09,2024-07-10 23:59:59
"TripShot Inc.","Santa Maria Vehicle Positions",2023-12-09,2024-07-10 23:59:59
"TripShot Inc.","TCRTA Vehicle Positions",2023-12-09,2024-07-10 23:59:59
"TripSpark","B-Line Vehicle Positions",2023-08-18,2098-12-31 23:59:59
