Bus,deviceSerialNumber
5501,7805833
5121,7805871
5120,7805872
5119,7805870
5118,7805873
5117,7805869
5116,7805823
5113,7805846
5112,7805836
5111,7805859
5110,7805820
5109,7805831
5106,7805824
5105,7805818
5104,7805851
5103,7805837
5102,7805839
5059,7805816
5057,7805821
5056,7805832
5055,7805806
5054,7805853
5051,7805812
4503,7805814
4502,7805848
4501,7805804
4500,7805810
4100,7805805
3920,7805829
3917,7805835
3916,7805825
3915,7805852
3914,7805854
3913,7805845
3912,7805822
3911,7805844
3910,7805850
3909,7805861
3908,7805862
3906,7805838
3904,7805807
3902,7805811
3901,7805858
3905,7805842
3907,7805840
3918,7805849
3919,7805826
3921,7805809
5052,7805857
5053,7805847
5058,7805860
5101,7805834
5107,7805815
5114,7805808
5115,7805819
